day,paradip_to_balasore_m3,balasore_to_haldia_m3,total_linefill_m3
1,13955.250,0.000,13955.250
2,16606.000,0.000,16606.000
3,9747.375,0.000,9747.375
4,12186.825,0.000,12186.825
5,27741.100,0.000,27741.100
6,17425.725,0.000,17425.725
7,29154.725,0.000,29154.725
8,32233.575,0.000,32233.575
9,39351.100,0.000,39351.100
10,55378.375,0.000,55378.375
11,63209.375,0.000,63209.375
12,69087.554,2685.696,71773.250
13,69087.554,8622.321,77709.875
14,69087.554,4835.696,73923.250
15,69087.554,10412.571,79500.125
16,69087.554,15731.646,84819.200
17,69087.554,11988.636,81076.190
18,69087.554,14312.196,83399.750
19,69087.554,22907.276,91994.830
20,69087.554,18458.071,87545.625
21,69087.554,19024.313,88111.867
22,69087.554,23970.611,93058.165
23,69087.554,12460.816,81548.370
24,69087.554,11951.791,81039.345
25,69087.554,17447.471,86535.025
26,69087.554,23264.046,92351.600
27,69087.554,27842.746,96930.300
28,69087.554,21004.421,90091.975
29,69087.554,15413.946,84501.500
30,69087.554,17599.566,86687.120
31,69087.554,19500.666,88588.220
32,69087.554,25380.296,94467.850
33,69087.554,22687.016,91774.570
34,69087.554,10540.066,79627.620
35,69087.554,6181.956,75269.510
36,69087.554,2723.326,71810.880
37,61977.460,0.000,61977.460
38,63614.590,0.000,63614.590
39,59312.400,0.000,59312.400
40,60313.300,0.000,60313.300
41,56525.050,0.000,56525.050
42,69087.554,10.246,69097.800
43,60295.250,0.000,60295.250
44,65269.000,0.000,65269.000
45,63999.250,0.000,63999.250
46,69087.554,1312.996,70400.550
47,66267.150,0.000,66267.150
48,67049.750,0.000,67049.750
49,67050.800,0.000,67050.800
50,65145.000,0.000,65145.000
51,66397.650,0.000,66397.650
52,68151.450,0.000,68151.450
53,69087.554,852.946,69940.500
54,65390.300,0.000,65390.300
55,61112.500,0.000,61112.500
56,63027.800,0.000,63027.800
57,69087.554,3573.246,72660.800
58,69087.554,613.646,69701.200
59,69054.200,0.000,69054.200
60,68434.950,0.000,68434.950
61,63229.700,0.000,63229.700
62,69087.554,11157.821,80245.375
63,69087.554,11340.846,80428.400
64,69087.554,9838.446,78926.000
65,66815.600,0.000,66815.600
66,67504.000,0.000,67504.000
67,69087.554,338.896,69426.450
68,69087.554,8803.546,77891.100
69,69087.554,7722.146,76809.700
70,69087.554,8260.926,77348.480
71,69087.554,2432.546,71520.100
72,69087.554,2507.546,71595.100
73,69087.554,4276.996,73364.550
74,69087.554,1264.846,70352.400
75,69087.554,1345.796,70433.350
76,67427.550,0.000,67427.550
77,67988.450,0.000,67988.450
78,69087.554,1481.496,70569.050
79,69087.554,3106.846,72194.400
80,69087.554,3472.546,72560.100